GACC	State	Group	Site	Date	Fuel	Percent	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2012-11-16	Chamise	60	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2012-11-15	Chamise	60	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2012-11-01	Chamise	59	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2012-10-18	Chamise	55	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2012-10-04	Chamise	51	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2012-09-20	Chamise	54	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2012-09-07	Chamise	63	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2012-08-23	Chamise	58	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2012-08-09	Chamise	63	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2012-07-27	Chamise	60	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2012-07-13	Chamise	68	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2012-06-28	Chamise	69	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2012-06-15	Chamise	81	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2012-05-31	Chamise	92	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2012-05-18	Chamise	117	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2012-05-03	Chamise	150	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2012-04-20	Chamise	99	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2012-04-06	Chamise	84	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2012-03-22	Chamise	86	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2012-03-09	Chamise	78	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2012-02-24	Chamise	76	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2012-02-09	Chamise	91	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2011-12-16	Chamise	79	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2011-12-01	Chamise	75	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2011-11-10	Chamise	66	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2011-10-28	Chamise	67	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2011-10-14	Chamise	70	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2011-09-30	Chamise	67	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2011-09-16	Chamise	69	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2011-09-01	Chamise	67	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2011-08-18	Chamise	71	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2011-08-04	Chamise	91	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2011-07-21	Chamise	78	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2011-07-07	Chamise	102	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2011-06-22	Chamise	100	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2011-06-09	Chamise	99	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2011-05-26	Chamise	104	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2011-05-11	Chamise	113	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2011-04-28	Chamise	118	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2011-04-13	Chamise	123	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2011-03-31	Chamise	131	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2011-03-10	Chamise	140	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2011-02-24	Chamise	166	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2011-02-10	Chamise	170	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2011-01-27	Chamise	128	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2011-01-13	Chamise	84	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2010-12-29	Chamise	82	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2010-12-09	Chamise	67	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2010-11-24	Chamise	80	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2010-11-12	Chamise	70	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2010-10-28	Chamise	70	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2010-10-08	Chamise	67	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2010-09-24	Chamise	72	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2010-09-10	Chamise	77	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2010-08-24	Chamise	73	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2010-08-13	Chamise	76	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2010-07-29	Chamise	72	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2010-07-15	Chamise	79	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2010-07-02	Chamise	83	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2010-06-18	Chamise	95	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2010-06-04	Chamise	94	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2010-05-21	Chamise	99	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2010-05-07	Chamise	104	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2010-04-23	Chamise	138	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2010-04-09	Chamise	120	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2010-03-26	Chamise	136	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2010-03-12	Chamise	142	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2010-02-26	Chamise	146	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2010-01-29	Chamise	88	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2010-01-08	Chamise	100	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2009-12-18	Chamise	82	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2009-12-04	Chamise	75	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2009-10-30	Chamise	71	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2009-10-02	Chamise	60	
SOCC	CA	LA County	Laurel Canyon, Mt. Olympus	2009-09-18	Chamise	70	
